symbol,date,opening_price,high_price,low_price,closing_price,adj_close,volume
AAPL,2018-06-13,192.419998,192.880005,190.440002,190.699997,190.699997,21638400
AAPL,2018-06-14,191.550003,191.570007,190.220001,190.800003,190.800003,21610100
AAPL,2018-06-15,190.029999,190.160004,188.259995,188.839996,188.839996,61719200
AAPL,2018-06-18,187.880005,189.220001,187.199997,188.740005,188.740005,18484900
AAPL,2018-06-19,185.139999,186.330002,183.449997,185.690002,185.690002,33578500
AAPL,2018-06-20,186.350006,187.199997,185.729996,186.500000,186.500000,20628700
AAPL,2018-06-21,187.250000,188.350006,184.940002,185.460007,185.460007,25711900
AAPL,2018-06-22,186.119995,186.149994,184.699997,184.919998,184.919998,27200400
AAPL,2018-06-25,183.399994,184.919998,180.729996,182.169998,182.169998,31663100
AAPL,2018-06-26,182.990005,186.529999,182.539993,184.429993,184.429993,24569200
AAPL,2018-06-27,185.229996,187.279999,184.029999,184.160004,184.160004,25285300
AAPL,2018-06-28,184.100006,186.210007,183.800003,185.500000,185.500000,17365200
AAPL,2018-06-29,186.289993,187.190002,182.910004,185.110001,185.110001,22737700
AAPL,2018-07-02,183.820007,187.300003,183.419998,187.179993,187.179993,17731300
AAPL,2018-07-03,187.789993,187.949997,183.539993,183.919998,183.919998,13954800
AAPL,2018-07-05,185.259995,186.410004,184.279999,185.399994,185.399994,16604200
AAPL,2018-07-06,185.419998,188.429993,185.199997,187.970001,187.970001,17485200
AAPL,2018-07-09,189.500000,190.679993,189.300003,190.580002,190.580002,19756600
AAPL,2018-07-10,190.710007,191.279999,190.179993,190.350006,190.350006,15939100
AAPL,2018-07-11,188.500000,189.779999,187.610001,187.880005,187.880005,18831500
AAPL,2018-07-12,189.529999,191.410004,189.309998,191.029999,191.029999,18002600
AAPL,2018-07-13,191.080002,191.839996,190.910004,191.330002,191.330002,12454438
AMZN,2018-06-13,1702.810059,1713.750000,1700.119995,1704.859985,1704.859985,3327500
AMZN,2018-06-14,1713.479980,1724.800049,1708.869995,1723.859985,1723.859985,3174400
AMZN,2018-06-15,1714.000000,1720.869995,1708.520020,1715.969971,1715.969971,4777600
AMZN,2018-06-18,1706.260010,1726.739990,1702.560059,1723.790039,1723.790039,3107700
AMZN,2018-06-19,1709.040039,1736.109985,1700.390015,1734.780029,1734.780029,4290100
AMZN,2018-06-20,1742.500000,1762.930054,1741.359985,1750.079956,1750.079956,4332600
AMZN,2018-06-21,1760.000000,1763.099976,1717.560059,1730.219971,1730.219971,4941100
AMZN,2018-06-22,1742.619995,1743.000000,1711.900024,1715.670044,1715.670044,4075100
AMZN,2018-06-25,1702.510010,1705.000000,1646.310059,1663.150024,1663.150024,7511200
AMZN,2018-06-26,1672.369995,1701.569946,1663.339966,1691.089966,1691.089966,4386600
AMZN,2018-06-27,1708.109985,1711.949951,1660.000000,1660.510010,1660.510010,4872200
AMZN,2018-06-28,1672.540039,1705.500000,1661.170044,1701.449951,1701.449951,4529700
AMZN,2018-06-29,1717.000000,1723.410034,1694.319946,1699.800049,1699.800049,4543500
